"","x"
"802",105.714285714286
"803",100.333333333333
"804",102.142857142857
"805",91
"806",102
"807",97
"808",100.5
"809",90
"810",100
"811",93
"812",NA
"813",82.75
"814",100.166666666667
"815",76
"816",107.125
"817",104
"818",124.5
"819",125.375
"820",113.25
"821",119.2
"822",105.833333333333
"823",107.666666666667
"824",107.333333333333
"825",111.5
"826",99
"827",98.5
"828",NA
"829",90.5
"830",NA
"831",NA
"832",95.5
"833",NA
"834",92
"835",81.5
"836",101.8
"837",105.8
"838",113.6
"839",110.333333333333
"840",116.5
"841",111
"842",117.5
"843",122.5
"844",111.666666666667
"845",106.25
"846",119
"847",98.3333333333333
"848",122
"849",97.2857142857143
"850",99.8
"851",96.1666666666667
"852",100.166666666667
"853",90
"854",102.25
"855",91.6666666666667
"856",114.75
"857",116.75
"858",115
"859",116.333333333333
"860",NA
"861",132
"862",105
"863",102
"864",105
"865",83.8
"866",92
"867",75
"868",NA
"869",NA
"870",NA
"871",NA
"872",NA
"873",NA
"874",118
"875",104
"876",103
"877",111.857142857143
"878",125.833333333333
"879",130.333333333333
"880",113.8
"881",121.4
"882",104
"883",NA
"884",95
"885",NA
"886",90.8
"887",NA
"888",87.25
"889",94.3333333333333
"890",101
"891",94
"892",112
"893",90.25
"894",NA
"895",106.5
"896",NA
"897",136.166666666667
"898",NA
"899",125.833333333333
"900",NA
"901",127
"902",142
"903",119.5
"904",NA
"905",119.666666666667
"906",95
"907",114.25
"908",94
"909",105.142857142857
"910",98.5
"911",101.444444444444
"912",121.25
"913",104.25
"914",119.666666666667
"915",108.857142857143
"916",107.1
"917",99
"918",98.2857142857143
"919",104.5
"920",102.166666666667
"921",105
"922",102.5
"923",105
"924",95.8571428571429
"925",87.3333333333333
"926",94.5
"927",86.5
"928",87
"929",91.5
"930",87.3333333333333
"931",89
"932",83
"933",132
"934",111
"935",131
"936",115
"937",130.5
"938",109.5
"939",117.5
"940",101.5
"941",110
"942",124
"943",122
"944",106.333333333333
"945",115.333333333333
"946",119.8
"947",118
"948",109.5
"949",105.5
"950",106.5
"951",98.75
"952",111.333333333333
"953",103
"954",100
"955",96
"956",104.25
"957",96.5
"958",85.3333333333333
"959",90
"960",74.3333333333333
"961",NA
"962",111
"963",125.666666666667
"964",122
"965",102
"966",100.5
"967",142
"968",109.5
"969",124
"970",NA
"971",NA
"972",NA
"973",NA
"974",97
"975",107.6
"976",103
"977",121.833333333333
"978",130
"979",132.5
"980",NA
"981",137.75
"982",149
"983",127.2
"984",124.5
"985",115
"986",126.6
"987",120.285714285714
"988",109.571428571429
"989",108.833333333333
"990",106.5
"991",101
"992",106
"993",95.3333333333333
"994",110
"995",106.25
"996",156
"997",129.666666666667
"998",123
"999",124
"1000",125.666666666667
"1001",120.5
"1002",118
"1003",120
